Ready to Parse files17:30:54 - Loading in to memory
17:30:54 - Converting Items
17:48:09 - 199 Files saved
17:48:15 - 200 Files saved
17:48:22 - 201 Files saved
17:48:28 - 202 Files saved
17:48:34 - 203 Files saved
17:48:39 - 204 Files saved
17:48:46 - 205 Files saved
17:48:53 - 206 Files saved
17:49:05 - 207 Files saved
17:49:10 - 208 Files saved
17:49:15 - 209 Files saved
17:49:21 - 210 Files saved
17:49:27 - 211 Files saved
17:49:32 - 212 Files saved
17:49:39 - 213 Files saved
17:49:44 - 214 Files saved
17:49:50 - 215 Files saved
17:49:56 - 216 Files saved
17:50:02 - 217 Files saved
17:50:07 - 218 Files saved
17:50:16 - 219 Files saved
17:50:22 - 220 Files saved
17:50:31 - 221 Files saved
17:50:37 - 222 Files saved
17:50:42 - 223 Files saved
17:50:47 - 224 Files saved
17:50:53 - 225 Files saved
17:50:58 - 226 Files saved
17:51:04 - 227 Files saved
17:51:15 - 228 Files saved
17:51:21 - 229 Files saved
17:51:27 - 230 Files saved
17:51:35 - 231 Files saved
17:51:41 - 232 Files saved
17:51:47 - 233 Files saved
17:51:54 - 234 Files saved
17:52:00 - 235 Files saved
17:52:06 - 236 Files saved
17:52:14 - 237 Files saved
17:52:20 - 238 Files saved
17:52:28 - 239 Files saved
17:52:35 - 240 Files saved
17:52:41 - 241 Files saved
17:52:48 - 242 Files saved
17:52:54 - 243 Files saved
17:53:02 - 244 Files saved
17:53:10 - 245 Files saved
17:53:16 - 246 Files saved
17:53:23 - 247 Files saved
17:53:30 - 248 Files saved
17:53:38 - 249 Files saved
17:53:46 - 250 Files saved
17:53:54 - 251 Files saved
17:54:00 - 252 Files saved
17:54:07 - 253 Files saved
17:54:15 - 254 Files saved
17:54:21 - 255 Files saved
17:54:27 - 256 Files saved
17:54:34 - 257 Files saved
17:54:41 - 258 Files saved
17:54:50 - 259 Files saved
17:54:58 - 260 Files saved
17:55:04 - 261 Files saved
17:55:12 - 262 Files saved
17:55:26 - 263 Files saved
17:55:33 - 264 Files saved
17:55:43 - 265 Files saved
17:55:49 - 266 Files saved
17:55:54 - 267 Files saved
17:56:02 - 268 Files saved
17:56:09 - 269 Files saved
17:56:15 - 270 Files saved
17:56:21 - 271 Files saved
17:56:28 - 272 Files saved
17:56:34 - 273 Files saved
17:56:45 - 274 Files saved
17:56:53 - 275 Files saved
17:56:59 - 276 Files saved
17:57:05 - 277 Files saved
17:57:11 - 278 Files saved
17:57:17 - 279 Files saved
17:57:25 - 280 Files saved
17:57:31 - 281 Files saved
17:57:38 - 282 Files saved
17:57:46 - 283 Files saved
17:57:55 - 284 Files saved
17:58:01 - 285 Files saved
17:58:09 - 286 Files saved
17:58:16 - 287 Files saved
17:58:23 - 288 Files saved
17:58:35 - 289 Files saved
17:58:35 - 290 Files saved
17:58:43 - 291 Files saved
17:58:53 - 292 Files saved
17:59:01 - 293 Files saved
17:59:08 - 294 Files saved
17:59:16 - 295 Files saved
17:59:23 - 296 Files saved
17:59:30 - 297 Files saved
17:59:37 - 298 Files saved
